,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,NewYork,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Richmond,Rockland,St.Lawrence,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates
2005_TS+,0.06567124370081298,0.0,0.14738305558287584,0.024184877283585517,0.0,0.006945400655798918,0.0,0.011172586471605104,0.023451062630963904,0.00525039216241942,0.0853602143098858,0.012660886612133444,0.04497973758041204,0.10652714964184441,0.0,0.019006833044664002,0.0038447753630315436,0.031016588345316298,0.0,0.067727991811682,0.024350243965866443,0.022448527119635787,0.0011472313583239283,0.150442339205073,0.006025548485611263,0.0004547583762725482,0.013012290811980413,1.0335417642557914e-05,0.09612971949343115,0.1773557667462938,0.14483020742516403,0.0,0.012412836588712053,0.007296804855645887,0.0017983626698050768,0.09857921347471738,0.0,0.0026872085870650575,0.03234985722120627,0.12392165753426938,0.15752210029022515,0.06634304584757925,0.141791594638252,0.13301682505972034,0.0020774189461541404,0.047088162779493854,0.053744171741301146,0.04314003324003673,0.020216076908843278,0.00420651498052107,0.0037517566042485225,0.21769490180519732,0.06613633749472808,0.016019897345964765,0.03657704303701245,0.07858018033636781,0.034561636596713664,0.05600762820502133,0.00143662305231555,0.13825688180449722,0.0,0.0032969982279759742
2005_C1+,0.006376952685458233,0.0,0.021663035378801387,0.0006821375644088223,0.0,0.0,0.0,5.1677088212789565e-05,0.0006511313114811485,0.0,0.009219192537161658,8.268334114046331e-05,0.0031729732162652795,0.012123444894720432,0.0,0.00012402501171069496,0.0,0.001322933458247413,0.0,0.006201250585534748,0.0005374417174130115,0.0006201250585534748,0.0,0.023709448072027853,0.0,0.0,9.301875878302122e-05,0.0,0.01000468427799606,0.029021852740302622,0.02189041456693766,0.0,6.201250585534748e-05,1.0335417642557914e-05,0.0,0.010356088477843028,0.0,0.0,0.0016329959875241503,0.015358430616841058,0.02442259188936435,0.006531983950096601,0.02173538330229929,0.018117987127404023,0.0,0.0032453211397631848,0.00450624209215525,0.003214314886835511,0.0004134167057023165,0.0,0.0,0.03650469511351455,0.0054364296799854625,0.0002583854410639478,0.002170437704937162,0.007410494449714024,0.001074883434826023,0.0042788629040189765,0.0,0.018459055909608432,0.0,0.0
2005_C2+,0.0009405230054727701,0.0,0.004433894168657345,1.0335417642557914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.001664002240451824,0.0,0.00035140419984696904,0.002098089781439256,0.0,0.0,0.0,1.0335417642557914e-05,0.0,0.0009095167525450964,0.0,0.0,0.0,0.004888652544929893,0.0,0.0,0.0,0.0,0.001664002240451824,0.0062942693443177695,0.004351210827516882,0.0,0.0,0.0,0.0,0.0017363501639497294,0.0,0.0,6.201250585534748e-05,0.002986935698699237,0.005209050491849188,0.0009405230054727701,0.004433894168657345,0.0034313586573292273,0.0,0.0002480500234213899,0.0004547583762725482,0.0002480500234213899,0.0,0.0,0.0,0.008971142513740269,0.0007751563231918434,0.0,0.00020670835285115826,0.001198908446536718,1.0335417642557914e-05,0.0003720750351320849,0.0,0.003689744098393175,0.0,0.0
2005_C3+,0.00016536668228092662,0.0,0.0011472313583239283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003720750351320849,0.0,4.1341670570231656e-05,0.0005787833879832431,0.0,0.0,0.0,0.0,0.0,0.00020670835285115826,0.0,0.0,0.0,0.0014056167993878761,0.0,0.0,0.0,0.0,0.0003927458704172007,0.0019740647697285615,0.0012402501171069496,0.0,0.0,0.0,0.0,0.0004650937939151061,0.0,0.0,0.0,0.0006614667291237065,0.001539977228741129,0.00016536668228092662,0.0012609209523920654,0.0008785104996174226,0.0,1.0335417642557914e-05,7.234792349790539e-05,2.0670835285115828e-05,0.0,0.0,0.0,0.002986935698699237,0.00018603751756604244,0.0,2.0670835285115828e-05,0.0002583854410639478,0.0,2.0670835285115828e-05,0.0,0.0008578396643323068,0.0,0.0
2005_C4+,2.0670835285115828e-05,0.0,0.00021704377049371618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1677088212789565e-05,0.0,1.0335417642557914e-05,0.00012402501171069496,0.0,0.0,0.0,0.0,0.0,4.1341670570231656e-05,0.0,0.0,0.0,0.00027905627634906366,0.0,0.0,0.0,0.0,6.201250585534748e-05,0.0004650937939151061,0.000237714605778832,0.0,0.0,0.0,0.0,6.201250585534748e-05,0.0,0.0,0.0,0.0001550312646383687,0.00034106878220441114,2.0670835285115828e-05,0.00027905627634906366,0.00017570209992348452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007544854879067277,4.1341670570231656e-05,0.0,0.0,4.1341670570231656e-05,0.0,0.0,0.0,0.00019637293520860036,0.0,0.0
2005_C5+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0335417642557914e-05,0.0,0.0,2.0670835285115828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0670835285115828e-05,0.0,0.0,0.0,0.0,0.0,5.1677088212789565e-05,2.0670835285115828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0670835285115828e-05,2.0670835285115828e-05,0.0,1.0335417642557914e-05,2.0670835285115828e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1341670570231656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0335417642557914e-05,0.0,0.0
2040_TS+,0.08076833590012078,0.0,0.16751349617410935,0.03136208659222466,0.0,0.010297028948456983,0.0,0.014016302811543181,0.030273914763286777,0.006236686303166375,0.10186587628505078,0.01801167997450914,0.05687727977523084,0.1229146925582373,0.0,0.02389105612488994,0.005148514474228491,0.04034356452360749,0.0,0.08154792168801658,0.031556983039198606,0.029997811463407017,0.0013805164993988068,0.1713464596312637,0.008169409402324704,0.0006009307115030101,0.019327230991583295,0.0,0.1101164925402813,0.20038603023038212,0.16465501495182475,0.0,0.01781678352753519,0.010768028695310693,0.002809757110541101,0.11347845625058192,0.0,0.003703032492505035,0.041480460464288854,0.14225816492040175,0.17914231751022164,0.08156416305859775,0.16108191342396902,0.15263640072176454,0.002809757110541101,0.05885872698613266,0.06717430872368782,0.055269384087695765,0.02722053709402824,0.0064640654913026485,0.005651996962244527,0.24519597166380927,0.07852702675992036,0.021243712720160464,0.047814594990942205,0.09265701916553168,0.04154542594661351,0.06800261862332711,0.0024524469577555277,0.1580285357547105,6.496548232464974e-05,0.005164755844809654
2040_C1+,0.007682168284889831,0.0,0.026132365265090357,0.0011531373112625327,0.0,1.6241370581162435e-05,0.0,6.496548232464974e-05,0.000860792640801609,0.0,0.011904924635992064,0.00012993096464929948,0.004287721833426883,0.015510508905010125,0.0,0.00022737918813627408,0.0,0.0014779647228857814,0.0,0.007990754325931918,0.0006334134526653349,0.0007795857878957968,0.0,0.027236778464609403,0.0,0.0,0.0001461723352304619,0.0,0.013106786058998085,0.03410687822044111,0.02584002059462943,0.0,8.120685290581217e-05,1.6241370581162435e-05,0.0,0.013642751288176444,0.0,0.0,0.0021763436578757663,0.019733265256112357,0.028714743187495183,0.007909547473026106,0.02515788303022061,0.022185712213867885,0.0,0.0038329634571543343,0.005392135032945928,0.003703032492505035,0.0006821375644088222,0.0,0.0,0.04170783965242513,0.007698409655470993,0.00040603426452906087,0.0031183431515831874,0.009712339607535135,0.0010719304583567207,0.0049048939155110554,0.0,0.023160194448737632,0.0,0.0
2040_C2+,0.0009582408642885836,0.0,0.0054733418858517405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018352748756713551,0.0,0.0004709997468537106,0.0024037228460120404,0.0,0.0,0.0,1.6241370581162435e-05,0.0,0.0011693786818436952,0.0,0.0,0.0,0.0060905139679359125,0.0,0.0,0.0,0.0,0.002062654063807629,0.007763375137795643,0.0054733418858517405,0.0,0.0,0.0,0.0,0.0021113781755511163,0.0,0.0,9.74482234869746e-05,0.0035243774161122484,0.006252927673747537,0.0009744822348697461,0.005359652291783603,0.0044663769098196695,0.0,0.00022737918813627408,0.0004709997468537106,0.000373551523366736,0.0,0.0,0.0,0.009939718795671409,0.0010232063466132334,0.0,0.00027610329987976136,0.0014617233523046191,0.0,0.0003410687822044111,0.0,0.004612549245050131,0.0,0.0
2040_C3+,0.0001461723352304619,0.0,0.0014454819817234566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035731015278557353,0.0,3.248274116232487e-05,0.0005846893409218476,0.0,0.0,0.0,0.0,0.0,0.00027610329987976136,0.0,0.0,0.0,0.0016241370581162435,0.0,0.0,0.0,0.0,0.0005034824880160354,0.002241309140200416,0.0014779647228857814,0.0,0.0,0.0,0.0,0.0006171720820841725,0.0,0.0,0.0,0.0008120685290581217,0.001607895687535081,0.00016241370581162435,0.001494206093466944,0.0010556890877755582,0.0,1.6241370581162435e-05,1.6241370581162435e-05,0.0,0.0,0.0,0.0,0.002809757110541101,0.00027610329987976136,0.0,1.6241370581162435e-05,0.00030858604104208625,0.0,1.6241370581162435e-05,0.0,0.0010556890877755582,0.0,0.0
2040_C4+,0.0,0.0,0.00035731015278557353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248274116232487e-05,0.0,0.0,0.00011368959406813704,0.0,0.0,0.0,0.0,0.0,1.6241370581162435e-05,0.0,0.0,0.0,0.000373551523366736,0.0,0.0,0.0,0.0,6.496548232464974e-05,0.0005359652291783603,0.00035731015278557353,0.0,0.0,0.0,0.0,0.00011368959406813704,0.0,0.0,0.0,0.0001461723352304619,0.0003897928939478984,0.0,0.00035731015278557353,0.00022737918813627408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006821375644088222,4.87241117434873e-05,0.0,0.0,3.248274116232487e-05,0.0,0.0,0.0,0.00011368959406813704,0.0,0.0
2040_C5+,0.0,0.0,1.6241370581162435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.248274116232487e-05,0.0,0.0,0.0,0.0,0.0,4.87241117434873e-05,1.6241370581162435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6241370581162435e-05,0.0,1.6241370581162435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.496548232464974e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6241370581162435e-05,0.0,0.0
2099_TS+,0.08814733193416226,1.894826567802284e-05,0.1974977731620321,0.03380370596959275,0.0,0.009947839480961992,0.0,0.015461784793266639,0.03240153430941906,0.006650841252986018,0.11592548941814375,0.01773557667462938,0.06540941312053485,0.14550373214153742,0.0,0.02451905578736156,0.004642325091115596,0.04191356367978653,0.0,0.09383181163756911,0.03166255194797617,0.03060144907000689,0.001970619630514376,0.2012495297662806,0.0077687889279893655,0.0006063445016967309,0.019478817117007483,0.0,0.13311156638811047,0.2336131675443436,0.19471237810736272,0.0,0.017318714829712877,0.00960677069875758,0.002520119335177038,0.13792442587032827,0.0,0.0037896531356045684,0.04540004456454273,0.16892378851957363,0.2102120594319854,0.08905684868670735,0.1903163804700614,0.18059592017723572,0.0021979988186506495,0.062282949283661085,0.0729129263290319,0.06112710507730169,0.028176071063219968,0.006347669002137652,0.006025548485611264,0.2782173849504094,0.0944002596079098,0.02252948789116916,0.055139453123046474,0.10935044122786983,0.04447157954631961,0.07160549599724832,0.0022169470843286724,0.1868867443823393,1.894826567802284e-05,0.005286566124168373
2099_C1+,0.00852671955511028,0.0,0.033708964641202634,0.0010042580809352106,0.0,0.0,0.0,1.894826567802284e-05,0.0008147754241549822,0.0,0.01286587239537751,0.00011368959406813705,0.004035980589418865,0.018000852394121702,0.0,0.00015158612542418273,0.0,0.0016106025826319416,0.0,0.008242495569939936,0.0006442410330527766,0.0008147754241549822,0.0,0.036589101024262105,0.0,0.0,0.00015158612542418273,0.0,0.01506387121402816,0.04439578648360752,0.03423951608018728,0.0,7.579306271209136e-05,0.0,0.0,0.016087077560641393,0.0,0.0,0.0021979988186506495,0.023647435566172506,0.03772599696494348,0.008640409149178416,0.03454268833103564,0.027929743609405668,0.0,0.004206514980521071,0.005968703688577195,0.0040170323237408425,0.000492654907628594,0.0,0.0,0.052183523677274905,0.008109857710193777,0.00034106878220441114,0.0029369811800935407,0.010440494388590587,0.0012316372690714848,0.005172876530100236,0.0,0.028820312096272744,0.0,0.0
2099_C2+,0.000985309815257188,0.0,0.007257185754682749,0.0,0.0,0.0,0.0,0.0,1.894826567802284e-05,0.0,0.0020653609589044897,0.0,0.0003979135792384797,0.0028611881173814494,0.0,0.0,0.0,0.0,0.0,0.0011747924720374161,0.0,0.0,0.0,0.00852671955511028,0.0,0.0,0.0,0.0,0.0022358953500066954,0.011160528484355454,0.007674047599599251,0.0,0.0,0.0,0.0,0.0023495849440748322,0.0,0.0,0.00011368959406813705,0.0038843944639946827,0.008924633134348759,0.0010421546122912563,0.007844581990701456,0.005551841843660693,0.0,0.00030317225084836545,0.0006631892987307994,0.00034106878220441114,0.0,0.0,0.0,0.014116457930127018,0.001061102877969279,0.0,0.00018948265678022841,0.0015348095199198503,0.0,0.0003979135792384797,0.0,0.00553289357798267,0.0,0.0
2099_C3+,0.00020843092245825126,0.0,0.0018569300364462385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006063445016967309,0.0,5.6844797034068526e-05,0.0007768788927989365,0.0,0.0,0.0,0.0,0.0,0.00034106878220441114,0.0,0.0,0.0,0.002501171069499015,0.0,0.0,0.0,0.0,0.0005873962360187081,0.00333489475933202,0.0020274644275484442,0.0,0.0,0.0,0.0,0.0006442410330527766,0.0,0.0,0.0,0.001061102877969279,0.002292740147040764,0.000246327453814297,0.0022169470843286724,0.0012884820661055532,0.0,3.789653135604568e-05,3.789653135604568e-05,1.894826567802284e-05,0.0,0.0,0.0,0.004718118153827688,0.00026527571949231976,0.0,3.789653135604568e-05,0.00043581011059452536,0.0,1.894826567802284e-05,0.0,0.0014211199258517132,0.0,0.0
2099_C4+,0.0,0.0,0.00043581011059452536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.579306271209136e-05,0.0,0.0,0.00015158612542418273,0.0,0.0,0.0,0.0,0.0,3.789653135604568e-05,0.0,0.0,0.0,0.000492654907628594,0.0,0.0,0.0,0.0,0.00011368959406813705,0.0007389823614428908,0.00043581011059452536,0.0,0.0,0.0,0.0,0.00013263785974615988,0.0,0.0,0.0,0.00026527571949231976,0.0005494997046626624,0.0,0.000492654907628594,0.0003221205165263883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012126890033934618,1.894826567802284e-05,0.0,0.0,1.894826567802284e-05,0.0,0.0,0.0,0.00037896531356045683,0.0,0.0
2099_C5+,0.0,0.0,3.789653135604568e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894826567802284e-05,0.0,0.0,0.0,0.0,0.0,3.789653135604568e-05,5.6844797034068526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.789653135604568e-05,0.0,1.894826567802284e-05,1.894826567802284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.894826567802284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
